Sentence,First_Sentence,Core_Elements,Element_Mappings,Hybrid_Hypothesis,Confidence_Score,Frame_Accepted,Ground_Truth,LLM_Response,Notes,Verb,Frame_Name,Frame_Definition,Core_Elements_Mappings
I open the backpack.,an agent manipulates a fastener to open or close a containing_object.,,,I manipulate a fastener to open or close a the backpack .,0.9,True,True,"Reasoning: The sentence ""I open the backpack"" aligns well with the core elements of the Closure frame. The Agent (""I"") manipulates a Fastener (implied, as backpacks typically have zippers, buckles, or similar fasteners) to open a Containing_object (""the backpack""). The action and its direct effect—opening—are explicitly mentioned, fitting the frame's core definition of manipulating a fastener to open or close a containing object. Although the fastener itself is not explicitly mentioned, its presence is inherent in the action of opening a backpack, which matches the frame's allowance for the manipulator (and by extension, the fastener) to be syntactically omissible.

Confidence: 0.9",,open,Closure,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'","{'Containing_object': 'the backpack', 'Agent': 'I', 'Fastener': None}"
I open the backpack.,this frame contains words for motions or actions an agent performs using some part of his/her body.,,,this frame contains words for motions or actions I perform using some part of his / her body .,0.5,False,False,"Reasoning: The sentence ""I open the backpack"" involves a physical action performed by an Agent (I) on an Object (the backpack), which aligns with the notion of performing actions using some part of the body as described in the Body_movement frame. However, the action of opening a backpack does not inherently involve motion of the body in the sense of changing location or position, which is a central aspect of the Body_movement frame as it includes elements like Source, Path, Goal, and Area. The action of opening is more about manipulating an object rather than the body moving through space or changing its position significantly. Therefore, while there is a physical action performed by a body part, the core focus of the Body_movement frame on motion or movement through space does not perfectly align with the action of opening something.

Confidence: 0.5",,open,Body_movement,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",{'Agent': 'I'}
I open the backpack.,an agent initiates the beginning of an ongoing activity in which he will be continuously involved.,,,I initiate the beginning of an ongoing open in which he will be continuously involved .,0.3,False,False,"Reasoning: The sentence ""I open the backpack"" involves an Agent (I) performing an action (open) on an object (the backpack). However, the ""Activity_start"" frame is about initiating an ongoing activity in which the agent will be continuously involved, suggesting a temporal duration and involvement that goes beyond the immediate action of opening something. Opening a backpack is typically a discrete, one-time action rather than the beginning of an ongoing activity that the agent is continuously involved in. Therefore, the core semantic roles and the overall meaning of the ""Activity_start"" frame do not align perfectly with the sentence.

Confidence: 0.3",,open,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ","{'Activity': 'open', 'Agent': 'I'}"
I close the backpack.,an agent manipulates a fastener to open or close a containing_object.,,,I manipulate a fastener to open or close a backpack .,0.9,True,True,"Reasoning: The sentence ""I close the backpack"" fits well within the ""Closure"" frame as defined. The Agent (""I"") is performing an action (manipulating a fastener, implied but not explicitly mentioned) to close a Containing_object (""backpack""). The core semantic roles of Agent, Fastener (implied by the action of closing), and Containing_object align perfectly with the elements present in the sentence. The sentence's focus on the physical action of closing and its direct effect on the backpack matches the core meaning of the frame. The absence of a specific fastener (e.g., zipper, button) does not detract from the match, as the frame accounts for the possibility that the Manipulator (in this case, the Agent) can be syntactically omissible or incorporate the Fastener implicitly.

Confidence: 0.9",,close,Closure,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'","{'Containing_object': 'backpack', 'Agent': 'I', 'Fastener': None}"
I close the backpack.,this frame contains words for motions or actions an agent performs using some part of his/her body.,,,this frame contains words for motions or actions I perform using some part of his / her body .,0.4,False,False,"Reasoning: The sentence ""I close the backpack"" involves a physical action performed by an Agent (I) on an object (the backpack). However, the action of closing a backpack involves manipulating an object rather than performing a motion or action using a part of the body in the sense intended by the Body_movement frame. While the action does indeed require movement (e.g., moving one's hands to zip or buckle the backpack), the primary focus is on the effect on the object (the backpack being closed) rather than the motion of the body part itself. Therefore, the core semantic roles and overall meaning of the Body_movement frame do not perfectly align with the sentence.

Confidence: 0.4",,close,Body_movement,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",{'Agent': 'I'}
I close the backpack.,"a building or location that can be sealed to prevent entrance, the locale, ceases to be open for use.",,,"a building or location that can be sealed to prevent entrance , the the backpack , ceases to be open for use .",0.2,False,False,"Reasoning: The core semantic roles in the ""Locale_closure"" frame involve a building or location being sealed to prevent entrance, which ceases to be open for use. In the sentence ""I close the backpack,"" the focus is on an object (the backpack) being closed, not a building or location. Therefore, the semantic roles do not align perfectly because the frame's definition specifies a building or location, whereas the sentence involves an object. The action of closing is present in both the frame and the sentence, but the subject of this action (a backpack vs. a building/location) does not match.

Confidence: 0.2",,close,Locale_closure,"A building or location that can be sealed to prevent entrance, the Locale, ceases to be open for use.  'That park closed last year.'",{'Locale': 'the backpack'}
I tear the backpack.,an experiencer is involved in a bodily injury to a body_part.,,,an experiencer is involved in a bodily injury to a body_part .,0.0,False,False,"Reasoning: The sentence ""I tear the backpack"" involves an agent (I) performing an action (tear) on an object (the backpack). This does not align with the ""Experience_bodily_harm"" frame, which requires an experiencer to be involved in a bodily injury to a body part. In the given sentence, there is no mention or implication of bodily injury or an experiencer suffering from such an injury. The action is directed towards an inanimate object rather than a body part, and there is no indication of harm to the agent themselves or another individual.

Confidence: 0.0",,tear,Experience_bodily_harm,"An Experiencer is involved in a bodily injury to a Body_part.  (In some cases, no Body_part need be indicated.)  Often an Injuring_entity on which the Experiencer injures themselves is mentioned. 'I think that I hurt myself pretty bad back there.' 'He smacked his head on the mantel getting up from poking at the fire.'","{'Body_part': None, 'Experiencer': None}"
I tear the backpack.,"an agent suddenly and often violently separates the whole_patient into two or more smaller pieces, resulting in the whole_patient no longer existing as such.",,,"I suddenly and often violently separates the the backpack into two or more smaller pieces , resulting in the the backpack no longer existing as such .",0.9,True,True,"Reasoning: The sentence ""I tear the backpack"" aligns well with the core definition of the ""Cause_to_fragment"" frame, where an Agent (I) performs an action (tear) that results in the Whole_patient (the backpack) being separated into smaller pieces. This action implies that the backpack no longer exists in its original form, which matches the outcome described in the frame definition. The sentence encapsulates the sudden and potentially violent action of tearing, which fits the description of how the fragmentation occurs according to the frame. Therefore, the semantic roles of Agent, Action, and Whole_patient are perfectly mapped to the elements in the sentence.

Confidence: 0.9",,tear,Cause_to_fragment,"An Agent suddenly and often violently separates the Whole_patient into two or more smaller Pieces, resulting in the Whole_patient no longer existing as such.  Several lexical items are marked with the semantic type Negative, which indicates that the fragmentation is necessarily judged as injurious to the original Whole_patient.  Compare this frame with Damaging, Render_non-functional, and Removing.  'He ripped up the letter faster than you can say ""Jack Robbins"". INI' 'Don't go in there or you 'll be torn to bits! CNI' 'She shattered the vase with a casual backhand blow to make it look like there had been a struggle. INI' 'Tear into 6"" strips, each about one inch wide, then bake at 400. CNI CNI'","{'Agent': 'I', 'Whole_patient': 'the backpack', 'Pieces': None}"
I tear the backpack.,an agent affects a patient in such a way that the patient.,,,I affect a the backpack in such a way that the the backpack .,1.0,True,True,"Reasoning: In the sentence ""I tear the backpack,"" the Agent (""I"") performs an action (tear) that affects a Patient (""the backpack"") in such a way that it likely ends up in a non-canonical (damaged) state. This aligns perfectly with the core definition of the Damaging frame, where an Agent affects a Patient leading to a non-canonical state. The verb ""tear"" is explicitly mentioned in the full frame definition as an example of an action that specifies both the means by which the Patient is altered and the detailed effect on the Patient, fitting the criteria for a perfect match.

Confidence: 1.0",,tear,Damaging,"An Agent affects a Patient in such a way that the Patient (or some Subregion of the Patient) ends up in a non-canonical state.  Often this non-canonical state is undesirable, and some lexical units (marked with the Negative semantic type) specifically indicate that the Patient is negatively affected.  Some lexical units of this frame indicate by what means the Patient is altered (e.g., scrape.v) and in some cases give some indication of the detailed effect on the Patient (e.g., score.v, chip.v), and in other cases, both are specified (tear.v). For another set of lexical units, the action and its result are much less specified (e.g., damage.v).  Compare this frame with Destroying, Cause_to_fragment, and Render_nonfunctional.  'That idiot just dented my car!' 'Some ne'er-do-wells defaced the Park's wall with spray paint to show their anger at local natural resources allocation policy.' 'Please don't damage the goods.'","{'Agent': 'I', 'Patient': 'the backpack'}"
I tear the backpack.,"an agent causes a theme to move away from a location, the source.",,,"I cause a the backpack to move away from a location , the source .",0.2,False,False,"Reasoning: The sentence ""I tear the backpack"" involves an Agent (I) performing an action (tear) on a Theme (the backpack). However, the core action described does not involve moving the Theme away from a location, which is central to the ""Removing"" frame. Instead, the action of tearing implies damaging or rending the backpack, not relocating it. Therefore, the semantic roles and the core action of tearing do not align with the ""Removing"" frame's definition of causing something to move away from a location.

Confidence: 0.2",,tear,Removing,"An Agent causes a Theme to move away from a location, the Source.  The Sourceis profiled by the words in this frame, just as the Goal is profiled in the Placing frame.  'I saw that several men in dark suits had removed all of the evidence from the scene.' 'With your index finger prise the meat out of the shell' 'The torrential winds dislodged most of the roof tiles.'","{'Agent': 'I', 'Theme': 'the backpack', 'Source': None, 'Cause': None}"
I open the laptop.,an agent manipulates a fastener to open or close a containing_object.,,,I manipulate a fastener to open or close a laptop .,0.4,False,True,"Reasoning: The sentence ""I open the laptop"" involves an Agent (""I"") performing an action (to ""open"") on a Containing_object (""laptop""). However, the action of opening a laptop typically does not involve manipulating a Fastener in the same way as opening a coat with a belt or buttoning a coat. Laptops are generally opened by lifting a lid or screen rather than manipulating a fastener. Therefore, while the sentence shares some superficial similarities with the Closure frame—such as an Agent acting to change the state of a Containing_object—the core action of manipulating a Fastener to achieve this change is not present. This discrepancy suggests that the sentence does not perfectly align with the Closure frame as defined.

Confidence: 0.4",,open,Closure,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'","{'Containing_object': 'laptop', 'Agent': 'I', 'Fastener': None}"
I open the laptop.,this frame contains words for motions or actions an agent performs using some part of his/her body.,,,this frame contains words for motions or actions I perform using some part of his / her body .,0.4,False,False,"Reasoning: The sentence ""I open the laptop"" involves an action performed by an agent (I) using a part of their body, likely hands, to perform a motion (open) on an object (the laptop). However, the core of the Body_movement frame emphasizes motions or actions that are primarily bodily without necessarily involving manipulation of objects as a central theme. Opening a laptop involves manipulation of an object rather than a focus on the movement of the body itself, which would be more aligned with frames related to handling or operating objects. Therefore, while there is a bodily action involved in the sentence, the primary focus is not on the body movement itself but on the interaction with an object to achieve a change in its state, which does not perfectly align with the core definition of the Body_movement frame.

Confidence: 0.4",,open,Body_movement,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",{'Agent': 'I'}
I open the laptop.,an agent initiates the beginning of an ongoing activity in which he will be continuously involved.,,,I initiate the beginning of an ongoing activity in which he will be continuously involved .,0.4,False,False,"Reasoning: The sentence ""I open the laptop"" involves an Agent (I) performing an action (open) on an object (the laptop). However, the action of opening a laptop does not inherently initiate an ongoing Activity in which the Agent will be continuously involved, as specified in the ""Activity_start"" frame. Opening a laptop could be a precursor to an activity (e.g., working, browsing), but the act itself does not guarantee continuous involvement in an activity. Therefore, the core semantic roles and the overall meaning of the ""Activity_start"" frame do not perfectly align with the sentence's context.

Confidence: 0.4",,open,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ","{'Activity': None, 'Agent': 'I'}"
I drop the pencil.,this frame contains words for motions or actions an agent performs using some part of his/her body.,,,this frame contains words for motions or actions I perform using some part of his / her body .,0.6,True,True,"Reasoning: The sentence ""I drop the pencil"" involves a physical action performed by an Agent (I) using a part of their body (likely the hand) to cause an object (the pencil) to move from one location to another, which aligns with the core definition of the Body_movement frame. However, the action of dropping does not inherently involve motion of the body part itself in a way that is central to the action's definition, unlike actions such as swinging, nodding, or jumping, which are more prototypical examples of the Body_movement frame. The action of dropping focuses more on the result of the motion (the pencil moving) rather than the motion of the body part itself. Therefore, while there is a physical action performed by an agent using their body, the focus on the object's movement rather than the agent's body movement suggests a partial but not perfect alignment with the Body_movement frame as defined.

Confidence: 0.6",,drop,Body_movement,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",{'Agent': 'I'}
I drop the pencil.,"the words in this frame describe the ""fictive"" motion of a stationary road.",,,"the words in this frame describe the "" fictive "" motion of a stationary road .",0.0,False,False,"Reasoning: The sentence ""I drop the pencil"" involves a physical action (dropping) and an object (the pencil) affected by this action. The core of this action is the change in the pencil's location due to the act of dropping. The ""Path_shape"" frame, however, is centered around the description of the motion or shape of a path, often in a stationary or ""fictive"" sense, without any actual movement being performed by the path itself. The semantic roles in the ""Path_shape"" frame, such as the path's shape, direction, or its relationship to landmarks, do not align with the elements of the sentence, which involve an actor (I), an action (drop), and an object (the pencil). There is no path being described, nor is there a stationary object being anthropomorphized with motion. Therefore, the core semantic roles and overall meaning of the frame do not apply to the sentence.

Confidence: 0.0",,drop,Path_shape,"The words in this frame describe the ""fictive"" motion of a stationary Road.  Some of the targets cast the scene primarily in terms of the Path_shape:  'The long mountain road meandered through the woods.'  Some of the words in this frame imply a Source or Goal which is expressed by a direct object:  'The path entered the garden on the west side.'  Other members of the frame refer to a Direction: 'Then the path bears a little to the right.'  Yet others indicate a Path which requires mention of a landmark:  'The otherwise arrow-straight highway veers north and skirts the lake.'",{'Road': None}
