ID,Sentence,Frame #,Verb,Object,Envoked Frame,Ground Truth (Manually Checking),Frame Definition,Notes,GPT Frame Match,Original Frame,Ground Truth Binary,GPT Match Binary,Unnamed: 6,Did the model Predicte the Frame
14,I drop the pencil.,8,drop,pencil,Cause_motion,yes,,,NO,Cause_motion,1,0,,
15,I sharpen the pencil.,1,sharpen,pencil,Cause_to_be_sharp,yes,An Agent or Cause makes a Patient sharper or duller.  An Instrument or Means may be mentioned.  'John is in the basement sharpening his axe.',,YES,Cause_to_be_sharp,1,1,,
19,I break the guitar.,1,break,guitar,Cause_harm,no,,,NO,Cause_harm,0,0,,
19,I break the guitar.,2,break,guitar,Compliance,no,,,NO,Compliance,0,0,,
19,I break the guitar.,3,break,guitar,Experience_bodily_harm,no,,,NO,Experience_bodily_harm,0,0,,
19,I break the guitar.,4,break,guitar,Cause_to_fragment,no,"An Agent suddenly and often violently separates the Whole_patient into two or more smaller Pieces, resulting in the Whole_patient no longer existing as such.  Several lexical items are marked with the semantic type Negative, which indicates that the fragmentation is necessarily judged as injurious to the original Whole_patient.  Compare this frame with Damaging, Render_non-functional, and Removing.  'He ripped up the letter faster than you can say ""Jack Robbins"". INI' 'Don't go in there or you 'll be torn to bits! CNI' 'She shattered the vase with a casual backhand blow to make it look like there had been a struggle. INI' 'Tear into 6"" strips, each about one inch wide, then bake at 400. CNI CNI'",,YES,Cause_to_fragment,0,1,,
19,I break the guitar.,5,break,guitar,Render_nonfunctional,no,An Agent affects an Artifact so that it is no longer capable of performing its inherent function.  'I broke the TV.',,YES,Render_nonfunctional,0,1,,
19,I break the guitar.,6,break,guitar,Breaking_off,no,,,NO,Breaking_off,0,0,,
19,I break the guitar.,7,break,guitar,Breaking_apart,no,,,NO,Breaking_apart,0,0,,
20,I smash the guitar.,1,smash,guitar,Cause_harm,no,,,NO,Cause_harm,0,0,,
20,I smash the guitar.,2,smash,guitar,Impact,yes,"While in motion, an Impactor makes sudden, forcible contact with the Impactee, or two Impactors both move, mutually making forcible contact.   'The massive metal foot hit the ground with a huge thud.' ",,YES,Impact,1,1,,
20,I smash the guitar.,3,smash,guitar,Cause_to_fragment,no,"An Agent suddenly and often violently separates the Whole_patient into two or more smaller Pieces, resulting in the Whole_patient no longer existing as such.  Several lexical items are marked with the semantic type Negative, which indicates that the fragmentation is necessarily judged as injurious to the original Whole_patient.  Compare this frame with Damaging, Render_non-functional, and Removing.  'He ripped up the letter faster than you can say ""Jack Robbins"". INI' 'Don't go in there or you 'll be torn to bits! CNI' 'She shattered the vase with a casual backhand blow to make it look like there had been a struggle. INI' 'Tear into 6"" strips, each about one inch wide, then bake at 400. CNI CNI'",,YES,Cause_to_fragment,0,1,,
