Sentence,First_Sentence,Core_Elements,Element_Mappings,NLI_Hypothesis,Entailment_Score,Frame_Accepted,Ground_Truth,Notes,Verb,Frame_Name,Frame_Definition,Core_Elements_Mappings
I drop the pencil.,a mother and father produce a child or an egg.,,,This describes a situation in which a mother and father produce a child or an egg .,0.006780066527426243,False,False,,drop,Giving_birth,A Mother and Father produce a Child or an Egg. 'Betty bore Gerry three intelligent daughters.',{}
I drop the pencil.,"in this frame a theme moves in a certain direction which is often determined by gravity or other natural, physical forces.",,,"This describes a situation in which in this frame a the pencil moves in a certain direction which is often determined by gravity or other natural , physical forces .",0.69850093126297,True,True,,drop,Motion_directional,"In this frame a Theme moves in a certain Direction which is often determined by gravity or other natural, physical forces. The Theme is not necessarily a self-mover.  ' The paper fell to the floor.'  ' The girl dropped 13 stories to her death.'",{'Theme': 'the pencil'}
I drop the pencil.,a protagonist changes the overall position and posture of the body.,,,This describes a situation in which a protagonist changes the overall position and posture of the body .,0.1507420837879181,False,False,,drop,Change_posture,A Protagonist changes the overall position and posture of the body.  'Smithers leaned forward to grab the folder on the far side.',{}
I drop the pencil.,this frame consists of words that indicate that an agent or a cause affects the position of an item on some scale.,,,This describes a situation in which this frame consists of words that indicates that I affect the position of an the pencil on some scale .,0.9653013944625854,True,False,,drop,Cause_change_of_position_on_a_scale,"This frame consists of words that indicate that an Agent or a Cause affects the position of an Item on some scale (the Attribute) to change it from an initial value (Value_1) to an end value (Value_2). The direction of the change (Path) can be encoded as well as the magnitude of the change (Difference). The rate of change of the value (Speed) can optionally be indicated as well as a second scale (Co_Variable), which the values are correlated with.  '' 'The company is raising the final dividend from 4.34p to 4.57p, to boost the total by 5.3 percent to 6.36p.'  'Similarly, a consumer boom will encourage the authorities to increase interest rates in order to keep money supply on target.'  'United Way of Central Indiana adds value to your investment.'","{'Agent': 'I', 'Item': 'the pencil', 'Cause': 'I'}"
I drop the pencil.,"an agent causes a theme to move from a source, along a path, to a goal.",,,"This describes a situation in which I cause a the pencil to move from a source , along a path , to a goal .",0.5698946714401245,False,True,,drop,Cause_motion,"An Agent causes a Theme to move from a Source, along a Path, to a Goal.  Different members of the frame emphasize the trajectory to different degrees, and a given instance of the frame will usually leave some of the Source, Path and/or Goal implicit. The completion of motion is not required (unlike the Placing frame, see below), although individual sentences annotated with this frame may emphasize the Goal.   '' This frame is very broad and contains several different kinds of words that refer to causing motion.  Some words in this frame do not emphasize the Manner/Means of causing the motion (transfer.v, move.v).  For many of the others (cast.v, throw.v, chuck.v, etc.), the Agent has control of the Theme only at the Source of motion, and does not experience overall motion.  For others (e.g. drag.v, push.v, shove.v, etc.) the Agent has control of the Theme throughout the motion; for these words, the Theme is resistant to motion due to some friction with the surface along which they move.    'She threw her shoes into the dryer .' 'The mechanic dragged the jack out from under the car .' 'We will move the sofa out of the room through the french doors, down the stairs, and onto the sidewalk .' '' ''  This frame is used in a very large number of productive metaphors, not all of which can be outlined here.  The most salient types include causing an entity, construed as a Theme, to change state from an initial state (Source) via an intermediate state (Path) to a final state (Goal): 'Hillary was catapulted to stardom and his life has never been the same since . CNI' 'She felt as though flung from health to illness and back by the day , by the hour .' 'Once our parents are dead , we are catapulted into becoming the older generation ourselves . CNI' 'Croquet was pushed out by tennis .' ''  A particularly divergent subtype casts changing someone's intentions as changing their location: 'Democratsforced the Senate into a rare closed door session .' 'He nudged Mrs Thatcher towards acceptance of a unified Germany .' ''  Another subtype is specifically about causing a change in quantity (the Theme) through some sequence of values (Source, Path, and Goal): 'Bonus payments would be handed out for pushing up voting levels CNI .' ''  Another type, with many subtypes, involves causing an action or state (construed as a Theme) to have an effect on another person or location or conceptual domain. In such cases, theGoal is used for the final affected domain, and Source for initial affected domain, Path for an intermediate affected domain, and Distance for degree of difference between original application of the action and final: 'Jake had been hurling these same insults at her now for years' 'One can not press this argument too far .' 'She shoved the thought to the very back of her mind .' 'She flung him a savage little smile .' All of the foregoing metaphorical uses are annotated in this frame and marked ""Metaphor"", since they seem to be semantically motivated and not lexically idiosyncratic. '' ''  This frame contrasts with the following frames which talk about an Agent changing a Theme's position with respect to a landmark (either Source or Goal): ''  In Placing, the figure (Theme) is profiled as the object, and ends up on the ground (Goal).  The focus is on the final stage of motion, in which the Theme ends up at the Goal, and usually stably remains there. 'Joyce placed the flowers onto the bed.' ''  In Filling, the ground (Goal) is profiled as the object, and the figure (Theme) ends up on the ground (Goal). 'John filled the box with old toys.' ''  In Removing, the figure (Theme) is profiled, and is removed from the ground (Source). 'Jennifer removed the flowers from the bed.' ''  In Emptying, the ground (Source) is profiled and the figure (Theme) is removed from it. 'Jason emptied the box of the old toys .' ''  Words of this frame also differ from the words of the Bringing frame in that they are more general:  either the Agent has a momentary interaction with the Theme that causes its motion, unlike the continuous causation of Bringing, or the Agent continuously acts on the Theme, but there is no supporting object that helps with the motion like the Carrier of the Bringing frame.  ","{'Agent': 'I', 'Theme': 'the pencil'}"
I sharpen the pencil.,an agent or cause makes a patient sharper or duller.,,,This describes a situation in which I make a the pencil sharper or duller .,0.9611826539039612,True,True,,sharpen,Cause_to_be_sharp,An Agent or Cause makes a Patient sharper or duller.  An Instrument or Means may be mentioned.  'John is in the basement sharpening his axe.',"{'Agent': 'I', 'Patient': 'the pencil', 'Cause': 'I'}"
I break the guitar.,the words in this frame describe situations in which an agent or a cause injures a victim.,,,This describes a situation in which the words in this frame describe situations in which I or a cause injures a the guitar .,0.9816725850105286,True,False,,break,Cause_harm,"The words in this frame describe situations in which an Agent or a Cause injures a Victim. The Body_part of the Victim which is most directly affected may also be mentioned in the place of the Victim.  In such cases, the Victim is often indicated as a genitive modifier of the Body_part, in which case the Victim FE is indicated on a second FE layer. '' 'Rod saw his father beating his mother.'  'In the end Wormtongue is fed up with being beaten so he cuts Saruman's throat to free himself.'  'A mother stabbed to death by her husband made a secret will stating that he must never be allowed to care for their son.'","{'Agent': 'I', 'Victim': 'the guitar'}"
I break the guitar.,this frame concerns acts and state_of_affairs for which protagonists are responsible and which either follow or violate some set of rules  or norms.,,,This describes a situation in which this frame concerns acts and state_of_affairs for which protagonists are responsible and which either follow or violate some set of rules   or norms .,0.6078843474388123,True,False,,break,Compliance,"This frame concerns Acts and State_of_Affairs for which Protagonists are responsible and which either follow or violate some set of rules  or Norms. '' 'A lot of people suspect that blocking savers' access to their money violates the new constitution's explicit ban on compulsory loans to the government.'  'Not that by adhering to the subject-before-predicate principle, the translator of the above extract has had to ignore the principle of end-weight.'","{'Protagonist': 'I', 'Act': 'break'}"
I break the guitar.,an experiencer is involved in a bodily injury to a body_part.,,,This describes a situation in which an experiencer is involved in a bodily injury to a body_part .,0.907620906829834,True,False,,break,Experience_bodily_harm,"An Experiencer is involved in a bodily injury to a Body_part.  (In some cases, no Body_part need be indicated.)  Often an Injuring_entity on which the Experiencer injures themselves is mentioned. 'I think that I hurt myself pretty bad back there.' 'He smacked his head on the mantel getting up from poking at the fire.'",{}
I break the guitar.,"an agent suddenly and often violently separates the whole_patient into two or more smaller pieces, resulting in the whole_patient no longer existing as such.",,,"This describes a situation in which I suddenly and often violently separates the the guitar into two or more smaller pieces , resulting in the the guitar no longer existing as such .",0.7369973063468933,True,False,,break,Cause_to_fragment,"An Agent suddenly and often violently separates the Whole_patient into two or more smaller Pieces, resulting in the Whole_patient no longer existing as such.  Several lexical items are marked with the semantic type Negative, which indicates that the fragmentation is necessarily judged as injurious to the original Whole_patient.  Compare this frame with Damaging, Render_non-functional, and Removing.  'He ripped up the letter faster than you can say ""Jack Robbins"". INI' 'Don't go in there or you 'll be torn to bits! CNI' 'She shattered the vase with a casual backhand blow to make it look like there had been a struggle. INI' 'Tear into 6"" strips, each about one inch wide, then bake at 400. CNI CNI'","{'Agent': 'I', 'Whole_patient': 'the guitar'}"
I break the guitar.,an agent affects an artifact so that it is no longer capable of performing its inherent function.,,,This describes a situation in which I affect an the guitar so that it is no longer capable of performing its inherent function .,0.9562733769416809,True,False,,break,Render_nonfunctional,An Agent affects an Artifact so that it is no longer capable of performing its inherent function.  'I broke the TV.',"{'Agent': 'I', 'Artifact': 'the guitar'}"
I break the guitar.,an single subpart breaks off from a whole.,,,This describes a situation in which an single subpart breaks off from a whole .,0.8013556003570557,True,False,,break,Breaking_off,An single Subpart breaks off from a Whole.  'The original sword may have chipped off of the statue long ago.',{}
