ID,Sentence,Frame #,Verb,Object,Envoked Frame,Ground Truth (Manually Checking),Frame Definition,Notes,Did the model Predicte the Frame,LLM Merged Sentence,Sentence Components,Frame Components,Unnamed: 6
6,I close the backpack.,1,close,backpack,Closure,yes,"Generally without overall (translational) motion,  an Agent places a Theme at a location, the Goal, which is profiled.  In this frame, the Theme is under the control of the Agent/Cause at the time of its arrival at the Goal.  'David placed his briefcase on the floor.'  This frame differs from Filling in that it focuses on the Theme rather than the effect on the Goal entity.  It differs from Removing in focusing on the Goal rather than the Source of motion for the Theme.",Confidence: 0.075,,backpackgbackpackebackpacknbackpackebackpackrbackpackabackpacklbackpacklbackpackybackpack backpackwbackpackibackpacktbackpackhbackpackobackpackubackpacktbackpack backpackobackpackvbackpackebackpackrbackpackabackpacklbackpacklbackpack.backpack,"who: I
verb: close
object_on_which_the_action_is_made: backpack","who: 
verb: 
object_on_which_the_action_is_made: ",
6,I close the backpack.,2,close,backpack,Body_movement,no,"A building or location that can be sealed to prevent entrance, the Locale, ceases to be open for use.  'That park closed last year.'",Confidence: 0.004,,"a building or location that can be sealed to prevent entrance, i, close backpack.","who: I
verb: close
object_on_which_the_action_is_made: backpack","who: the locale
verb: ceases
object_on_which_the_action_is_made: to be open for use",
6,I close the backpack.,3,close,backpack,Locale_closure,no,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.003,,this frame contains words for backpack an i close using some part of his/her body.,"who: I
verb: close
object_on_which_the_action_is_made: backpack","who: agent
verb: performs
object_on_which_the_action_is_made: motions or actions",
8,I tear the backpack.,1,tear,backpack,Experience_bodily_harm,no,"An Experiencer is involved in a bodily injury to a Body_part.  (In some cases, no Body_part need be indicated.)  Often an Injuring_entity on which the Experiencer injures themselves is mentioned. 'I think that I hurt myself pretty bad back there.' 'He smacked his head on the mantel getting up from poking at the fire.'",Confidence: 0.002,,an i tear a backpack to a body part.,"who: I
verb: tear
object_on_which_the_action_is_made: backpack","who: experiencer
verb: is involved in
object_on_which_the_action_is_made: bodily injury",
8,I tear the backpack.,2,tear,backpack,Cause_to_fragment,yes,"An Agent causes a Theme to move away from a location, the Source.  The Sourceis profiled by the words in this frame, just as the Goal is profiled in the Placing frame.  'I saw that several men in dark suits had removed all of the evidence from the scene.' 'With your index finger prise the meat out of the shell' 'The torrential winds dislodged most of the roof tiles.'",Confidence: 0.001,,"an i tear a backpack to move away from a location, the source.","who: I
verb: tear
object_on_which_the_action_is_made: backpack","who: agent
verb: causes
object_on_which_the_action_is_made: theme",
8,I tear the backpack.,3,tear,backpack,Damaging,yes,"An Agent affects a Patient in such a way that the Patient (or some Subregion of the Patient) ends up in a non-canonical state.  Often this non-canonical state is undesirable, and some lexical units (marked with the Negative semantic type) specifically indicate that the Patient is negatively affected.  Some lexical units of this frame indicate by what means the Patient is altered (e.g., scrape.v) and in some cases give some indication of the detailed effect on the Patient (e.g., score.v, chip.v), and in other cases, both are specified (tear.v). For another set of lexical units, the action and its result are much less specified (e.g., damage.v).  Compare this frame with Destroying, Cause_to_fragment, and Render_nonfunctional.  'That idiot just dented my car!' 'Some ne'er-do-wells defaced the Park's wall with spray paint to show their anger at local natural resources allocation policy.' 'Please don't damage the goods.'",Confidence: 0.001,,an i tear a backpack in such a way that the backpack.,"who: I
verb: tear
object_on_which_the_action_is_made: backpack","who: agent
verb: affects
object_on_which_the_action_is_made: patient",
8,I tear the backpack.,4,tear,backpack,Removing,no,"An Agent suddenly and often violently separates the Whole_patient into two or more smaller Pieces, resulting in the Whole_patient no longer existing as such.  Several lexical items are marked with the semantic type Negative, which indicates that the fragmentation is necessarily judged as injurious to the original Whole_patient.  Compare this frame with Damaging, Render_non-functional, and Removing.  'He ripped up the letter faster than you can say ""Jack Robbins"". INI' 'Don't go in there or you 'll be torn to bits! CNI' 'She shattered the vase with a casual backhand blow to make it look like there had been a struggle. INI' 'Tear into 6"" strips, each about one inch wide, then bake at 400. CNI CNI'",Confidence: 0.001,,"an i suddenly and often violently tear backpack into two or more smaller pieces, resulting in backpack no longer existing as such.","who: I
verb: tear
object_on_which_the_action_is_made: backpack","who: agent
verb: separates
object_on_which_the_action_is_made: the whole patient",
9,I open the laptop.,1,open,laptop,Closure,yes,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.006,,this frame contains words for laptop an i open using some part of his/her body.,"who: I
verb: open
object_on_which_the_action_is_made: laptop","who: agent
verb: performs
object_on_which_the_action_is_made: motions or actions",
9,I open the laptop.,2,open,laptop,Body_movement,no,"An Agent manipulates a Fastener to open or close a Containing_object (e.g. coat, jar).  Sometimes an Enclosed_region or a Container_portal may be expressed. Since the Manipulator is syntactically omissible, many verbs in this frame incorporate the Fastener.  'Mary closed her coat with a belt.' 'Mary closed her coat with one hand.' 'Mary buttoned her coat .'",Confidence: 0.001,,i open laptop to open or close a containing object.,"who: I
verb: open
object_on_which_the_action_is_made: laptop","who: an agent
verb: manipulates
object_on_which_the_action_is_made: a fastener",
9,I open the laptop.,3,open,laptop,Activity_start,no,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ",Confidence: 0.001,,an i open the laptop of an ongoing activity in which he will be continuously involved.,"who: I
verb: open
object_on_which_the_action_is_made: laptop","who: agent
verb: initiates
object_on_which_the_action_is_made: beginning",
14,I drop the pencil.,1,drop,pencil,Body_movement,yes,"This frame contains perception words whose perceivers intentionally direct their attention to some entity or phenomenon in order to have a perceptual experience.  For this reason we call the perceiver role in this frame Perceiver_agentive.    'She gazed upon him fondly.'  Comparing the Perception_active frame to the Perception_experience frame, we note that for some modalities there are different lexical items in each frame.  For instance, whereas Perception_active contains the verb phrase look at, Perception_experience contains see.   For other sense modalities, we find the same lexical item in both frames.  To illustrate, consider the verb smell.  This first sentence exemplifies the Perception_active use of the verb smell:'Smell this to see if it's fresh.CNI' This second sentence exemplifies its Perception_experience sense: 'I smell something rotten.'  ",Confidence: 0.010,,this frame contains perception words whose i intentionally drop their pencil to some entity or phenomenon in order to have a perceptual experience.,"who: I
verb: drop
object_on_which_the_action_is_made: pencil","who: perceivers
verb: direct
object_on_which_the_action_is_made: attention",
14,I drop the pencil.,2,drop,pencil,Path_shape,no,"This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'",Confidence: 0.005,,this frame contains words for pencil an i drop using some part of his/her body.,"who: I
verb: drop
object_on_which_the_action_is_made: pencil","who: agent
verb: performs
object_on_which_the_action_is_made: motions or actions",
14,I drop the pencil.,3,drop,pencil,Change_position_on_a_scale,yes,"A Visitor arrives at the Host_location as a guest of the Host, for the purpose of achieving a Purpose. The Purpose is often social in nature, i.e., the visit itself constitutes a goal.  'I'm gonna drop in on Kieth for a while.' ",Confidence: 0.002,,"a i drop at the pencil as a guest of the host, for the purpose of achieving a purpose.","who: I
verb: drop
object_on_which_the_action_is_made: pencil","who: visitor
verb: arrives
object_on_which_the_action_is_made: host location",
14,I drop the pencil.,4,drop,pencil,Giving_birth,no,"The words in this frame describe the ""fictive"" motion of a stationary Road.  Some of the targets cast the scene primarily in terms of the Path_shape:  'The long mountain road meandered through the woods.'  Some of the words in this frame imply a Source or Goal which is expressed by a direct object:  'The path entered the garden on the west side.'  Other members of the frame refer to a Direction: 'Then the path bears a little to the right.'  Yet others indicate a Path which requires mention of a landmark:  'The otherwise arrow-straight highway veers north and skirts the lake.'",Confidence: 0.002,,"the words in this frame drop the ""fictive"" pencil of a stationary i.","who: I
verb: drop
object_on_which_the_action_is_made: pencil","who: road
verb: describe
object_on_which_the_action_is_made: motion",
14,I drop the pencil.,5,drop,pencil,Motion_directional,yes,"This frame consists of words that indicate that an Agent or a Cause affects the position of an Item on some scale (the Attribute) to change it from an initial value (Value_1) to an end value (Value_2). The direction of the change (Path) can be encoded as well as the magnitude of the change (Difference). The rate of change of the value (Speed) can optionally be indicated as well as a second scale (Co_Variable), which the values are correlated with.  '' 'The company is raising the final dividend from 4.34p to 4.57p, to boost the total by 5.3 percent to 6.36p.'  'Similarly, a consumer boom will encourage the authorities to increase interest rates in order to keep money supply on target.'  'United Way of Central Indiana adds value to your investment.'",Confidence: 0.002,,this frame consists of words that indicate that an i drop the pencil of an item on some scale.,"who: I
verb: drop
object_on_which_the_action_is_made: pencil","who: agent or a cause
verb: affects
object_on_which_the_action_is_made: position",
14,I drop the pencil.,6,drop,pencil,Change_posture,no,"An Agent causes a Theme to move from a Source, along a Path, to a Goal.  Different members of the frame emphasize the trajectory to different degrees, and a given instance of the frame will usually leave some of the Source, Path and/or Goal implicit. The completion of motion is not required (unlike the Placing frame, see below), although individual sentences annotated with this frame may emphasize the Goal.   '' This frame is very broad and contains several different kinds of words that refer to causing motion.  Some words in this frame do not emphasize the Manner/Means of causing the motion (transfer.v, move.v).  For many of the others (cast.v, throw.v, chuck.v, etc.), the Agent has control of the Theme only at the Source of motion, and does not experience overall motion.  For others (e.g. drag.v, push.v, shove.v, etc.) the Agent has control of the Theme throughout the motion; for these words, the Theme is resistant to motion due to some friction with the surface along which they move.    'She threw her shoes into the dryer .' 'The mechanic dragged the jack out from under the car .' 'We will move the sofa out of the room through the french doors, down the stairs, and onto the sidewalk .' '' ''  This frame is used in a very large number of productive metaphors, not all of which can be outlined here.  The most salient types include causing an entity, construed as a Theme, to change state from an initial state (Source) via an intermediate state (Path) to a final state (Goal): 'Hillary was catapulted to stardom and his life has never been the same since . CNI' 'She felt as though flung from health to illness and back by the day , by the hour .' 'Once our parents are dead , we are catapulted into becoming the older generation ourselves . CNI' 'Croquet was pushed out by tennis .' ''  A particularly divergent subtype casts changing someone's intentions as changing their location: 'Democratsforced the Senate into a rare closed door session .' 'He nudged Mrs Thatcher towards acceptance of a unified Germany .' ''  Another subtype is specifically about causing a change in quantity (the Theme) through some sequence of values (Source, Path, and Goal): 'Bonus payments would be handed out for pushing up voting levels CNI .' ''  Another type, with many subtypes, involves causing an action or state (construed as a Theme) to have an effect on another person or location or conceptual domain. In such cases, theGoal is used for the final affected domain, and Source for initial affected domain, Path for an intermediate affected domain, and Distance for degree of difference between original application of the action and final: 'Jake had been hurling these same insults at her now for years' 'One can not press this argument too far .' 'She shoved the thought to the very back of her mind .' 'She flung him a savage little smile .' All of the foregoing metaphorical uses are annotated in this frame and marked ""Metaphor"", since they seem to be semantically motivated and not lexically idiosyncratic. '' ''  This frame contrasts with the following frames which talk about an Agent changing a Theme's position with respect to a landmark (either Source or Goal): ''  In Placing, the figure (Theme) is profiled as the object, and ends up on the ground (Goal).  The focus is on the final stage of motion, in which the Theme ends up at the Goal, and usually stably remains there. 'Joyce placed the flowers onto the bed.' ''  In Filling, the ground (Goal) is profiled as the object, and the figure (Theme) ends up on the ground (Goal). 'John filled the box with old toys.' ''  In Removing, the figure (Theme) is profiled, and is removed from the ground (Source). 'Jennifer removed the flowers from the bed.' ''  In Emptying, the ground (Source) is profiled and the figure (Theme) is removed from it. 'Jason emptied the box of the old toys .' ''  Words of this frame also differ from the words of the Bringing frame in that they are more general:  either the Agent has a momentary interaction with the Theme that causes its motion, unlike the continuous causation of Bringing, or the Agent continuously acts on the Theme, but there is no supporting object that helps with the motion like the Carrier of the Bringing frame.  ",Confidence: 0.001,,"an i drop a pencil to move from a source, along a path, to a goal.","who: I
verb: drop
object_on_which_the_action_is_made: pencil","who: agent
verb: causes
object_on_which_the_action_is_made: theme",
14,I drop the pencil.,7,drop,pencil,Cause_change_of_position_on_a_scale,no,"In this frame a Theme moves in a certain Direction which is often determined by gravity or other natural, physical forces. The Theme is not necessarily a self-mover.  ' The paper fell to the floor.'  ' The girl dropped 13 stories to her death.'",Confidence: 0.001,,"in this frame a i drop in a certain pencil which is often determined by gravity or other natural, physical forces.","who: I
verb: drop
object_on_which_the_action_is_made: pencil","who: theme
verb: moves
object_on_which_the_action_is_made: direction",
14,I drop the pencil.,8,drop,pencil,Cause_motion,yes,"This frame consists of words that indicate the change of an Item's position on a scale (the Attribute) from a starting point (Initial_value) to an end point (Final_value). The direction (Path) of the movement can be indicated as well as the magnitude of the change (Difference).  The rate of change of the value (Speed) is optionally indicated.  Another scale (Correlate), which the values are correlated with, is indicated if it is not the default correlate (namely, absolute time).  '' The distinction between Attributes and Items is not always an easy one. The clear cases involve the expression of the Attribute in an in-PP.  'Hawke's Bay winery doubled in size last year.'  'The amount you can deduct, then, depends on whether or not the stock has increased in value during the period you have owned it.'  Other clear cases of Attributes involve NP's like size, quality, number, value that denote abstract attributes rather than events or classes of things.   '' The analysis is more complicated when an event-denoting noun phrase occurs as the subject and the sentence has no in-PP. In the simplest cases, where the Attribute is the number of occurrences of the event, the Attribute is usually left implicit, as in exx. 1 and 2, the Attribute below.  '(1)Accidents increased 20% to 345.' '(1--second FE layer)Accidents increased 20% to 345.' '(2) Attacks on civilians decreased over the last 4 months  DNI.'  In cases  like (1), we will tag the Attribute on the second layer below the Final_value label, as that FE makes it clear that the Attribute is simply cardinality. In cases like (2), we tag it as DNI because in context the hearer has to understand a particular Attribute rather than just some or any appropriate Attribute of the Item.  Note that the above pattern can be compared to cases involving tangible Items, where the Attribute may similarly be missing when the incidence or frequency of the Item is specified.  '(3) Woodland birds increasedto their highest level since 1990 DNI.'   A more complicated case involving event-denoting subjects is when the Attribute measured is not the incidence of the type of event specified but rather an Attribute of an event-participant. In (4), it is not the number of times that turbot was caught that has changed but the amount of fish caught.  '(4) Turbot catches increased from around 100 tonnes in the 1960s to around 1,200 tonnes in the mid 1990s.' '(4-second FE layer) Turbot catches increased from around 100 tonnes in the 1960s to around 1,200 tonnes in the mid 1990s.'  (Note the 2nd layer annotation of the Attribute below the Initial_value and Final_value FEs, since they indicate that the Attribute is implicitly weight.)  Similarly, in (5), the report is (in context) about the total monetary value of the gifts, not about the number of donations made.  '(5)Overall Giving by Church Members increased  from 2000 to 2001'  As can be seen from the above examples, we consider the event nouns in uses such as (4) and (5) to also specify Items. Note that in cases like (4), we do not want to treat the subject NP ""turbot catches"" as an Attribute that includes information about the Item, since it would not make sense to restate (4) as follows:  '*Turbot increased in catches.'  Two more complications arise. First, certain nouns that do not, by their etymology, denote abstract attributes have a second sense in which they do denote an Attribute.  '(6) The population of Smallville increased fourfold to 807.'   Under one reading, (6a), the population could be understood as referring to ""the people"", in which case the Attribute cardinality is understood as unexpressed, as in (1),  (2), and (3).  The Attribute could be overtly specified:  '(6a) The population of Smallville increased fourfold in size to 807.'  Under another reading, (6b), population is an Attribute that habitats or locations possess. In this case, the whole NP ""the population of Smallville"" is treated as the Attribute and on the second layer ""of Smallville"" is tagged as Item.   '(6b) The population of Smallville increased fourfold to 807.' '(6b-second FE layer) The population of Smallville increased fourfold to 807.' Support for the possibility of this second reading comes from the fact that you can also state the facts as in (6c).  '(6c) Smallville increased fourfold in population to 807.'   The last complication is that Initial_value expressions can also function as the subject, which superficially look like expressions of Attribute.  '(7) The 1999 price had increased to $3400 by 2001.' '(7--second layer) The 1999 price had increased to $3400 by 2001.'  There is no Attribute ""1999 price"" here (though the concept is plausible in certain special statistical contexts where prices are indexed to prices of a particular year). (7) simply reports that the value of the price-Attribute changed from whatever it was in 1999 to the new value of $3400 by 2001. For sentence (7), Attribute would only be indicated as ""price"" on the 2nd layer. ",Confidence: 0.001,,this frame consists of i that drop the pencil of an item's position on a scale.,"who: I
verb: drop
object_on_which_the_action_is_made: pencil","who: words
verb: indicate
object_on_which_the_action_is_made: change",
15,I sharpen the pencil.,1,sharpen,pencil,Cause_to_be_sharp,yes,An Agent or Cause makes a Patient sharper or duller.  An Instrument or Means may be mentioned.  'John is in the basement sharpening his axe.',Confidence: 0.006,,an i sharpen a pencil sharper or duller.,"who: I
verb: sharpen
object_on_which_the_action_is_made: pencil","who: agent or cause
verb: makes
object_on_which_the_action_is_made: patient",
19,I break the guitar.,1,break,guitar,Cause_harm,no,An Agent brings about the end of a Theme's captivity at a Location_of_confinement in contravention of the plans or desires of a captor.  'His accomplice freed him from Sing Sing prison thanks to his disguise.' ,Confidence: 0.010,,an i break a theme's guitar at a location of confinement in contravention of the plans or desires of a captor.,"who: I
verb: break
object_on_which_the_action_is_made: guitar","who: agent
verb: brings about the end of
object_on_which_the_action_is_made: captivity",
19,I break the guitar.,2,break,guitar,Compliance,no,"A Fuel, some flammable object or substance, ends up on fire.  In this frame, the cause of the fire is not the primary concern, but rather the fact that a fire started.  In rare cases, only the Fire is mentioned and the associated Fuel is not.  '' This frame does not include phrases like ""a fire broke out"" or ""the conflagration started in the bedroom"" as these are deemed to be compositional (see Process_start and Fire_burning).",Confidence: 0.004,,"a i, some flammable object or substance, break guitar.","who: I
verb: break
object_on_which_the_action_is_made: guitar","who: fuel
verb: ends up
object_on_which_the_action_is_made: on fire",
19,I break the guitar.,3,break,guitar,Experience_bodily_harm,no,"A Whole breaks apart into Pieces, resulting in the loss of the Whole (and in most cases, no piece that has a separate function).  'The plane violently broke apart in mid-air.'  'And then, I finally realized that it must have been the case that a meteorite broke apart into at least 3 large pieces.'  Many of these verbs can also refer metaphorically to the breaking apart of institutions. (See the frame for ""schism"".)",Confidence: 0.003,,"i break guitar into pieces, resulting in the loss of the whole.","who: I
verb: break
object_on_which_the_action_is_made: guitar","who: a whole
verb: breaks
object_on_which_the_action_is_made: apart",
19,I break the guitar.,4,break,guitar,Cause_to_fragment,no,"An Experiencer is involved in a bodily injury to a Body_part.  (In some cases, no Body_part need be indicated.)  Often an Injuring_entity on which the Experiencer injures themselves is mentioned. 'I think that I hurt myself pretty bad back there.' 'He smacked his head on the mantel getting up from poking at the fire.'",Confidence: 0.002,,an i break a guitar to a body part.,"who: I
verb: break
object_on_which_the_action_is_made: guitar","who: experiencer
verb: is involved in
object_on_which_the_action_is_made: bodily injury",
19,I break the guitar.,5,break,guitar,Render_nonfunctional,no,An single Subpart breaks off from a Whole.  'The original sword may have chipped off of the statue long ago.',Confidence: 0.001,,an single i break from a guitar.,"who: I
verb: break
object_on_which_the_action_is_made: guitar","who: subpart
verb: breaks off
object_on_which_the_action_is_made: whole",
19,I break the guitar.,6,break,guitar,Breaking_off,no,"The words in this frame describe situations in which an Agent or a Cause injures a Victim. The Body_part of the Victim which is most directly affected may also be mentioned in the place of the Victim.  In such cases, the Victim is often indicated as a genitive modifier of the Body_part, in which case the Victim FE is indicated on a second FE layer. '' 'Rod saw his father beating his mother.'  'In the end Wormtongue is fed up with being beaten so he cuts Saruman's throat to free himself.'  'A mother stabbed to death by her husband made a secret will stating that he must never be allowed to care for their son.'",Confidence: 0.001,,the words in this frame describe situations in which an i break a guitar.,"who: I
verb: break
object_on_which_the_action_is_made: guitar","who: agent or a cause
verb: injures
object_on_which_the_action_is_made: victim",
19,I break the guitar.,7,break,guitar,Breaking_apart,no,An Agent affects an Artifact so that it is no longer capable of performing its inherent function.  'I broke the TV.',Confidence: 0.001,,an i break an guitar so that it is no longer capable of performing its inherent function.,"who: I
verb: break
object_on_which_the_action_is_made: guitar","who: agent
verb: affects
object_on_which_the_action_is_made: artifact",
20,I smash the guitar.,1,smash,guitar,Cause_harm,no,"While in motion, an Impactor makes sudden, forcible contact with the Impactee, or two Impactors both move, mutually making forcible contact.   'The massive metal foot hit the ground with a huge thud.' ",Confidence: 0.007,,"while in motion, an i smash sudden, forcible contact with the guitar, or two is both move, mutually making forcible contact.","who: I
verb: smash
object_on_which_the_action_is_made: guitar","who: impactor
verb: makes
object_on_which_the_action_is_made: impactee",
20,I smash the guitar.,2,smash,guitar,Impact,yes,"The words in this frame describe situations in which an Agent or a Cause injures a Victim. The Body_part of the Victim which is most directly affected may also be mentioned in the place of the Victim.  In such cases, the Victim is often indicated as a genitive modifier of the Body_part, in which case the Victim FE is indicated on a second FE layer. '' 'Rod saw his father beating his mother.'  'In the end Wormtongue is fed up with being beaten so he cuts Saruman's throat to free himself.'  'A mother stabbed to death by her husband made a secret will stating that he must never be allowed to care for their son.'",Confidence: 0.001,,the words in this frame describe situations in which an i smash a guitar.,"who: I
verb: smash
object_on_which_the_action_is_made: guitar","who: agent or a cause
verb: injures
object_on_which_the_action_is_made: victim",
